2017JD  theta1  r1  theta2  r2 theta3 r3
234 80.607408 0.329220 108.419487 0.246082 105.020810 0.334622
235 78.452339 0.333957 107.682176 0.236545 101.623412 0.319874
236 76.945210 0.333421 104.583423 0.224950 98.543165 0.299762
237 76.216906 0.335415 101.370616 0.212016 95.133926 0.289464
238 75.840642 0.340356 98.870502 0.198993 91.880626 0.287088
239 75.870333 0.342495 97.118949 0.190350 89.608188 0.284111
240 75.315969 0.348436 94.018054 0.180353 87.618897 0.282704
241 75.130077 0.353259 93.532068 0.171571 84.948643 0.282284
242 75.390983 0.358888 93.426929 0.164281 84.344206 0.286844
243 75.940377 0.365007 94.239257 0.157092 84.557860 0.293325
244 76.380016 0.371204 94.738518 0.154827 85.238576 0.301438
245 77.050207 0.374391 95.531698 0.151536 87.112569 0.307605
246 77.512377 0.376856 96.261709 0.149147 87.858108 0.313686
247 77.631904 0.378017 95.513088 0.153711 89.110056 0.316248
248 77.763638 0.380275 94.848368 0.151771 90.237559 0.321008
249 77.763763 0.378507 93.041678 0.155572 91.663603 0.320180
250 77.487710 0.377693 91.728493 0.155818 92.597815 0.322329
251 77.110886 0.376365 90.366079 0.158861 93.608686 0.321688
252 76.758718 0.375281 89.171437 0.161127 93.943187 0.321616
253 76.255531 0.376070 88.653199 0.162845 94.180563 0.320204
254 75.620142 0.377508 85.368844 0.162154 94.095585 0.318836
255 75.456835 0.377637 82.762419 0.160993 94.079956 0.317645
256 74.863656 0.374540 81.146744 0.160262 93.002568 0.310092
257 74.219635 0.375950 79.548420 0.154806 92.064979 0.308250
258 73.235378 0.380001 76.102576 0.144899 89.864606 0.313353
259 73.264234 0.383366 75.384539 0.129136 87.683429 0.316080
260 72.948937 0.387072 74.138829 0.117972 85.369707 0.321989
261 73.136836 0.388018 70.010867 0.109656 83.491829 0.322950
262 73.199871 0.391108 65.916643 0.098789 81.300934 0.325490
263 73.440629 0.393155 61.167249 0.087169 79.459207 0.327607
264 73.931956 0.394803 59.678395 0.073412 77.986103 0.329812
265 74.227434 0.398275 55.866340 0.060811 77.255071 0.333835
266 74.563269 0.401390 53.651926 0.056547 78.111425 0.336416
267 74.786668 0.404402 47.025840 0.053758 79.624657 0.331107
268 74.726741 0.407009 45.973805 0.060433 82.784398 0.328566
269 73.913943 0.407800 47.101208 0.064463 85.597017 0.325334
270 73.623595 0.407106 48.400051 0.077200 89.258896 0.324901
271 73.063588 0.404468 51.519605 0.087530 92.971580 0.323289
272 72.135646 0.402505 51.099640 0.098855 96.635550 0.323886
273 71.831851 0.393447 55.101224 0.116788 101.062069 0.320253
274 71.785145 0.386808 55.598809 0.130729 104.515532 0.317897
275 72.173156 0.378939 55.497443 0.149627 108.199661 0.308023
276 72.518532 0.379532 53.772761 0.158653 108.693387 0.307306
277 73.510911 0.383270 50.079664 0.160124 108.759466 0.307610
278 74.535952 0.382706 45.869639 0.162363 107.428883 0.301242
279 76.057961 0.392985 39.977959 0.158624 105.032318 0.310825
280 77.529192 0.400297 34.051353 0.151638 102.278089 0.316450
281 78.484609 0.403379 28.352251 0.152035 98.975074 0.315802
282 79.014320 0.408653 25.263834 0.144551 95.349206 0.317432
283 79.147733 0.414494 20.995899 0.139882 93.432875 0.324702
284 78.686142 0.411043 22.418439 0.127128 91.379544 0.322501
285 77.606561 0.410235 25.788436 0.113832 88.902935 0.330041
286 76.383474 0.410381 30.055092 0.099140 89.510666 0.338169
287 75.539430 0.410794 34.876392 0.090424 90.417345 0.345181
288 74.646282 0.408771 46.284581 0.079485 91.849174 0.348710
289 73.715244 0.410249 55.862068 0.080722 93.499239 0.350890
290 73.491554 0.410612 59.822629 0.087501 95.189721 0.351508
